step,name,x,y,z
4350,Merkez,-0.0410259,0.150401,0
4350,Gezegen1,-3.74178,-9.23206,0
4350,Gezegen2,-19.5035,0.468132,0
4400,Merkez,-0.0432649,0.152856,0
4400,Gezegen1,-3.27818,-9.39869,0
4400,Gezegen2,-19.4984,0.110572,0
4450,Merkez,-0.0455448,0.155287,0
4450,Gezegen1,-2.80672,-9.54202,0
4450,Gezegen2,-19.4867,-0.246977,0
4500,Merkez,-0.0478645,0.157694,0
4500,Gezegen1,-2.32855,-9.66169,0
4500,Gezegen2,-19.4684,-0.604393,0
4550,Merkez,-0.0502229,0.160075,0
4550,Gezegen1,-1.84486,-9.75739,0
4550,Gezegen2,-19.4434,-0.961552,0
4600,Merkez,-0.0526187,0.162431,0
4600,Gezegen1,-1.35681,-9.82886,0
4600,Gezegen2,-19.4119,-1.31833,0
4650,Merkez,-0.0550507,0.164759,0
4650,Gezegen1,-0.865601,-9.8759,0
4650,Gezegen2,-19.3737,-1.67461,0
4700,Merkez,-0.0575178,0.16706,0
4700,Gezegen1,-0.37244,-9.89837,0
4700,Gezegen2,-19.329,-2.03026,0
4750,Merkez,-0.0600187,0.169332,0
4750,Gezegen1,0.121465,-9.8962,0
4750,Gezegen2,-19.2776,-2.38516,0
4800,Merkez,-0.062552,0.171575,0
4800,Gezegen1,0.614898,-9.86937,0
4800,Gezegen2,-19.2196,-2.73918,0
4850,Merkez,-0.0651167,0.173789,0
4850,Gezegen1,1.10664,-9.81789,0
4850,Gezegen2,-19.155,-3.09221,0
4900,Merkez,-0.0677112,0.175972,0
4900,Gezegen1,1.59548,-9.74188,0
4900,Gezegen2,-19.0838,-3.44411,0
4950,Merkez,-0.0703345,0.178125,0
4950,Gezegen1,2.08021,-9.64149,0
4950,Gezegen2,-19.0061,-3.79477,0
5000,Merkez,-0.0729852,0.180247,0
5000,Gezegen1,2.55962,-9.51693,0
5000,Gezegen2,-18.9219,-4.14406,0
5050,Merkez,-0.0756619,0.182338,0
5050,Gezegen1,3.03253,-9.36847,0
5050,Gezegen2,-18.8311,-4.49186,0
5100,Merkez,-0.0783635,0.184397,0
5100,Gezegen1,3.49773,-9.19645,0
5100,Gezegen2,-18.7338,-4.83803,0
5150,Merkez,-0.0810885,0.186424,0
5150,Gezegen1,3.95408,-9.00124,0
5150,Gezegen2,-18.6301,-5.18247,0
5200,Merkez,-0.0838358,0.188419,0
5200,Gezegen1,4.40043,-8.78331,0
5200,Gezegen2,-18.5199,-5.52504,0
5250,Merkez,-0.086604,0.190381,0
5250,Gezegen1,4.83564,-8.54315,0
5250,Gezegen2,-18.4033,-5.86563,0
5300,Merkez,-0.0893919,0.192312,0
5300,Gezegen1,5.25862,-8.28132,0
5300,Gezegen2,-18.2803,-6.20411,0
5350,Merkez,-0.0921982,0.19421,0
5350,Gezegen1,5.66829,-7.99844,0
5350,Gezegen2,-18.151,-6.54036,0
5400,Merkez,-0.0950217,0.196076,0
5400,Gezegen1,6.06361,-7.69517,0
5400,Gezegen2,-18.0154,-6.87426,0
5450,Merkez,-0.0978612,0.197911,0
5450,Gezegen1,6.44355,-7.37224,0
5450,Gezegen2,-17.8735,-7.20569,0
5500,Merkez,-0.100716,0.199713,0
5500,Gezegen1,6.80715,-7.03041,0
5500,Gezegen2,-17.7253,-7.53453,0
5550,Merkez,-0.103583,0.201484,0
5550,Gezegen1,7.15346,-6.67051,0
5550,Gezegen2,-17.571,-7.86065,0
5600,Merkez,-0.106464,0.203223,0
5600,Gezegen1,7.48158,-6.29341,0
5600,Gezegen2,-17.4106,-8.18394,0
5650,Merkez,-0.109356,0.204931,0
5650,Gezegen1,7.79065,-5.90001,0
5650,Gezegen2,-17.244,-8.50428,0
5700,Merkez,-0.112258,0.206609,0
5700,Gezegen1,8.07987,-5.49129,0
5700,Gezegen2,-17.0714,-8.82156,0
5750,Merkez,-0.115169,0.208257,0
5750,Gezegen1,8.34845,-5.06824,0
5750,Gezegen2,-16.8929,-9.13565,0
5800,Merkez,-0.118089,0.209874,0
5800,Gezegen1,8.5957,-4.63189,0
5800,Gezegen2,-16.7084,-9.44645,0
5850,Merkez,-0.121016,0.211462,0
5850,Gezegen1,8.82093,-4.18334,0
5850,Gezegen2,-16.518,-9.75383,0
5900,Merkez,-0.123949,0.213022,0
5900,Gezegen1,9.02356,-3.72368,0
5900,Gezegen2,-16.3219,-10.0577,0
5950,Merkez,-0.126888,0.214554,0
5950,Gezegen1,9.20301,-3.25406,0
5950,Gezegen2,-16.1199,-10.3579,0
6000,Merkez,-0.129832,0.216057,0
6000,Gezegen1,9.35881,-2.77566,0
6000,Gezegen2,-15.9124,-10.6544,0
6050,Merkez,-0.13278,0.217534,0
6050,Gezegen1,9.4905,-2.28968,0
6050,Gezegen2,-15.6992,-10.947,0
6100,Merkez,-0.135731,0.218985,0
6100,Gezegen1,9.59772,-1.79732,0
6100,Gezegen2,-15.4804,-11.2356,0
6150,Merkez,-0.138684,0.220411,0
6150,Gezegen1,9.68015,-1.29984,0
6150,Gezegen2,-15.2562,-11.5201,0
6200,Merkez,-0.141639,0.221811,0
6200,Gezegen1,9.73755,-0.798495,0
6200,Gezegen2,-15.0267,-11.8005,0
6250,Merkez,-0.144596,0.223187,0
6250,Gezegen1,9.76972,-0.294552,0
6250,Gezegen2,-14.7917,-12.0766,0
6300,Merkez,-0.147554,0.224541,0
6300,Gezegen1,9.77656,0.210705,0
6300,Gezegen2,-14.5516,-12.3482,0
6350,Merkez,-0.150511,0.225871,0
6350,Gezegen1,9.758,0.71599,0
6350,Gezegen2,-14.3063,-12.6154,0
6400,Merkez,-0.153469,0.22718,0
6400,Gezegen1,9.71406,1.22001,0
6400,Gezegen2,-14.0559,-12.878,0
6450,Merkez,-0.156427,0.228468,0
6450,Gezegen1,9.64483,1.72148,0
6450,Gezegen2,-13.8006,-13.1359,0
6500,Merkez,-0.159384,0.229736,0
6500,Gezegen1,9.55044,2.21911,0
6500,Gezegen2,-13.5403,-13.3889,0
6550,Merkez,-0.16234,0.230984,0
6550,Gezegen1,9.43111,2.71163,0
6550,Gezegen2,-13.2753,-13.6371,0
6600,Merkez,-0.165295,0.232214,0
6600,Gezegen1,9.28712,3.19776,0
6600,Gezegen2,-13.0055,-13.8803,0
6650,Merkez,-0.168248,0.233426,0
6650,Gezegen1,9.11883,3.67626,0
6650,Gezegen2,-12.7311,-14.1184,0
6700,Merkez,-0.171201,0.234621,0
6700,Gezegen1,8.92663,4.1459,0
6700,Gezegen2,-12.4522,-14.3514,0
6750,Merkez,-0.174152,0.2358,0
6750,Gezegen1,8.711,4.60545,0
6750,Gezegen2,-12.1688,-14.5791,0
6800,Merkez,-0.177102,0.236963,0
6800,Gezegen1,8.47249,5.05375,0
6800,Gezegen2,-11.8811,-14.8014,0
6850,Merkez,-0.180051,0.238112,0
6850,Gezegen1,8.21168,5.48963,0
6850,Gezegen2,-11.5892,-15.0183,0
6900,Merkez,-0.182999,0.239246,0
6900,Gezegen1,7.92925,5.91196,0
6900,Gezegen2,-11.2931,-15.2297,0
6950,Merkez,-0.185946,0.240368,0
6950,Gezegen1,7.6259,6.31967,0
6950,Gezegen2,-10.993,-15.4354,0
7000,Merkez,-0.188892,0.241476,0
7000,Gezegen1,7.30241,6.7117,0
7000,Gezegen2,-10.689,-15.6355,0
7050,Merkez,-0.191838,0.242572,0
7050,Gezegen1,6.95961,7.08705,0
7050,Gezegen2,-10.3812,-15.8299,0
7100,Merkez,-0.194785,0.243657,0
7100,Gezegen1,6.59837,7.44474,0
7100,Gezegen2,-10.0697,-16.0184,0
7150,Merkez,-0.197731,0.244731,0
7150,Gezegen1,6.21962,7.78388,0
